freq,unit,iccs,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,ICCS0401,ES419	67 	73 	62 	63 	77 	62 	60 	56 	36 	41 	35 	40 	18 	24 
A,NR,ICCS0401,ES42	1601 	1571 	1220 	1346 	1419 	1388 	1091 	1010 	1006 	1026 	968 	978 	754 	882 
A,NR,ICCS0401,ES421	476 	421 	346 	323 	325 	338 	215 	198 	190 	195 	240 	252 	145 	176 
A,NR,ICCS0401,ES422	303 	337 	258 	268 	304 	266 	181 	183 	146 	147 	128 	123 	157 	144 
A,NR,ICCS0401,ES423	134 	107 	84 	82 	82 	95 	88 	74 	79 	62 	76 	95 	66 	79 
A,NR,ICCS0401,ES424	159 	189 	134 	163 	198 	183 	145 	163 	209 	182 	161 	161 	118 	178 
A,NR,ICCS0401,ES425	529 	517 	398 	510 	510 	506 	462 	392 	382 	440 	363 	347 	268 	305 
A,NR,ICCS0401,ES43	577 	461 	441 	378 	388 	390 	297 	308 	302 	277 	252 	320 	211 	224 
A,NR,ICCS0401,ES431	409 	346 	343 	296 	300 	297 	232 	238 	220 	224 	179 	252 	155 	132 
A,NR,ICCS0401,ES432	168 	115 	98 	82 	88 	93 	65 	70 	82 	53 	73 	68 	56 	92 
A,NR,ICCS0401,ES5	16423 	13697 	37015 	39735 	44020 	39410 	32418 	28735 	27255 	27362 	28801 	32712 	21603 	25975 
A,NR,ICCS0401,ES51	979 	127 	25154 	27961 	31792 	28950 	24213 	21514 	20152 	20615 	22506 	26448 	17082 	20501 
A,NR,ICCS0401,ES511	95 	101 	22250 	25005 	28497 	25803 	21682 	19176 	17882 	18374 	20151 	23836 	15249 	18360 
A,NR,ICCS0401,ES512	3 	6 	943 	1034 	1038 	1125 	888 	820 	809 	818 	956 	1109 	754 	877 
A,NR,ICCS0401,ES513	2 	2 	528 	518 	639 	557 	409 	435 	392 	390 	409 	455 	285 	377 
A,NR,ICCS0401,ES514	879 	18 	1433 	1404 	1618 	1465 	1234 	1083 	1069 	1033 	990 	1048 	794 	887 
A,NR,ICCS0401,ES52	13684 	11938 	10385 	10166 	10643 	9141 	6988 	6152 	5917 	5393 	5065 	4950 	3772 	4578 
A,NR,ICCS0401,ES521	4580 	3978 	3307 	3037 	3021 	2640 	2157 	1998 	2064 	1818 	1687 	1655 	1187 	1212 
A,NR,ICCS0401,ES522	895 	682 	733 	676 	721 	680 	483 	426 	480 	409 	353 	355 	230 	303 
A,NR,ICCS0401,ES523	8209 	7278 	6345 	6453 	6901 	5821 	4348 	3728 	3373 	3166 	3025 	2940 	2355 	3063 
A,NR,ICCS0401,ES53	1760 	1632 	1476 	1608 	1585 	1319 	1217 	1069 	1186 	1354 	1230 	1314 	749 	896 
A,NR,ICCS0401,ES531	387 	232 	207 	325 	424 	335 	361 	280 	293 	278 	236 	233 	128 	157 
A,NR,ICCS0401,ES532	1343 	1369 	1236 	1260 	1127 	970 	842 	769 	861 	1053 	972 	1059 	606 	713 
A,NR,ICCS0401,ES533	30 	31 	33 	23 	34 	14 	14 	20 	32 	23 	22 	22 	15 	26 
A,NR,ICCS0401,ES6	18808 	15446 	14158 	13998 	13881 	12739 	10178 	9257 	9500 	9613 	9019 	9360 	6822 	7682 
A,NR,ICCS0401,ES61	16160 	13155 	12194 	11867 	11673 	10531 	8291 	7283 	7431 	7668 	7093 	7302 	5187 	5911 
A,NR,ICCS0401,ES611	1707 	1303 	1050 	1081 	1177 	1079 	853 	697 	692 	588 	550 	537 	386 	534 
A,NR,ICCS0401,ES612	1433 	1096 	1117 	1199 	1121 	1140 	988 	969 	889 	871 	795 	831 	602 	728 
A,NR,ICCS0401,ES613	1162 	1021 	810 	969 	962 	857 	561 	509 	494 	565 	541 	487 	286 	273 
A,NR,ICCS0401,ES614	2536 	1848 	1487 	1560 	1625 	1352 	901 	697 	712 	900 	852 	844 	566 	611 
A,NR,ICCS0401,ES615	812 	607 	491 	484 	465 	429 	365 	336 	309 	333 	264 	287 	249 	266 
A,NR,ICCS0401,ES616	642 	538 	517 	498 	516 	528 	405 	359 	318 	262 	201 	280 	177 	174 
A,NR,ICCS0401,ES617	3424 	2891 	2799 	2762 	2644 	2222 	1758 	1535 	1594 	1523 	1477 	1599 	1119 	1388 
A,NR,ICCS0401,ES618	4444 	3851 	3923 	3314 	3163 	2924 	2460 	2181 	2423 	2626 	2413 	2437 	1802 	1937 
A,NR,ICCS0401,ES62	2288 	1909 	1581 	1723 	1787 	1690 	1433 	1480 	1495 	1458 	1444 	1536 	1207 	1375 
A,NR,ICCS0401,ES620	2288 	1909 	1581 	1723 	1787 	1690 	1433 	1480 	1495 	1458 	1444 	1536 	1207 	1375 
A,NR,ICCS0401,ES63	131 	146 	189 	168 	165 	223 	189 	174 	197 	131 	150 	147 	128 	195 
A,NR,ICCS0401,ES630	131 	146 	189 	168 	165 	223 	189 	174 	197 	131 	150 	147 	128 	195 
A,NR,ICCS0401,ES64	229 	236 	194 	240 	256 	295 	265 	320 	377 	356 	332 	375 	300 	201 
A,NR,ICCS0401,ES640	229 	236 	194 	240 	256 	295 	265 	320 	377 	356 	332 	375 	300 	201 
A,NR,ICCS0401,ES7	2172 	1989 	1944 	2017 	2011 	1818 	1628 	1530 	1537 	1436 	1490 	1535 	1180 	1316 
A,NR,ICCS0401,ES70	2172 	1989 	1944 	2017 	2011 	1818 	1628 	1530 	1537 	1436 	1490 	1535 	1180 	1316 
A,NR,ICCS0401,ES703	1 	0 	0 	0 	0 	1 	0 	1 	1 	0 	0 	0 	0 	0 
A,NR,ICCS0401,ES704	114 	96 	68 	78 	88 	69 	54 	62 	72 	66 	61 	85 	41 	44 
A,NR,ICCS0401,ES705	948 	864 	927 	970 	941 	839 	731 	601 	554 	560 	614 	629 	540 	645 
A,NR,ICCS0401,ES706	0 	1 	2 	1 	2 	1 	0 	0 	2 	1 	1 	1 	1 	1 
A,NR,ICCS0401,ES707	17 	10 	14 	8 	11 	12 	16 	14 	10 	8 	11 	12 	10 	4 
A,NR,ICCS0401,ES708	240 	167 	119 	164 	155 	149 	133 	116 	151 	136 	121 	111 	104 	107 
A,NR,ICCS0401,ES709	852 	851 	814 	796 	814 	747 	694 	736 	747 	665 	682 	697 	484 	515 
A,NR,ICCS0401,ESZ	156 	180 	182 	166 	205 	234 	202 	224 	236 	246 	264 	263 	75 	74 
A,NR,ICCS0401,ESZZ	156 	180 	182 	166 	205 	234 	202 	224 	236 	246 	264 	263 	75 	74 
A,NR,ICCS0401,ESZZZ	156 	180 	182 	166 	205 	234 	202 	224 	236 	246 	264 	263 	75 	74 
A,NR,ICCS0401,FI	1696 	1640 	1505 	1620 	1615 	1518 	1684 	1544 	1667 	1640 	1700 	1805 	1995 	1892 
A,NR,ICCS0401,FI1	1645 	1585 	1480 	1582 	1582 	1488 	1660 	1525 	1644 	1617 	1683 	1781 	1987 	1876 
A,NR,ICCS0401,FI19	327 	268 	261 	286 	274 	258 	321 	301 	369 	317 	318 	339 	374 	367 
A,NR,ICCS0401,FI193	59 	73 	56 	68 	68 	58 	71 	53 	63 	66 	78 	80 	104 	84 
A,NR,ICCS0401,FI194	33 	25 	11 	18 	26 	14 	22 	10 	19 	26 	16 	32 	39 	31 
A,NR,ICCS0401,FI195	41 	31 	37 	26 	17 	29 	22 	38 	28 	10 	24 	29 	33 	24 
A,NR,ICCS0401,FI196	53 	42 	38 	53 	44 	34 	66 	56 	56 	62 	51 	40 	43 	35 
A,NR,ICCS0401,FI197	141 	97 	119 	121 	119 	123 	140 	144 	203 	153 	149 	158 	155 	193 
A,NR,ICCS0401,FI1B	765 	770 	648 	699 	652 	689 	786 	649 	747 	794 	821 	824 	980 	900 
A,NR,ICCS0401,FI1B1	765 	770 	648 	699 	652 	689 	786 	649 	747 	794 	821 	824 	980 	900 
A,NR,ICCS0401,FI1C	312 	316 	284 	322 	341 	292 	273 	322 	291 	253 	256 	303 	311 	295 
A,NR,ICCS0401,FI1C1	140 	164 	139 	174 	189 	161 	125 	142 	151 	115 	99 	131 	145 	156 
A,NR,ICCS0401,FI1C2	41 	27 	44 	33 	38 	27 	35 	51 	25 	30 	55 	44 	44 	28 
A,NR,ICCS0401,FI1C3	58 	62 	39 	49 	44 	41 	40 	50 	53 	51 	38 	57 	55 	51 
A,NR,ICCS0401,FI1C4	42 	37 	35 	37 	35 	34 	46 	46 	39 	30 	43 	40 	45 	38 
A,NR,ICCS0401,FI1C5	31 	26 	27 	29 	35 	29 	27 	33 	23 	27 	21 	31 	22 	22 
A,NR,ICCS0401,FI1D	241 	231 	287 	275 	315 	249 	280 	253 	237 	253 	288 	315 	322 	314 
A,NR,ICCS0401,FI1D1	13 	10 	27 	34 	20 	21 	14 	22 	16 	18 	17 	21 	23 	24 
A,NR,ICCS0401,FI1D2	53 	37 	43 	61 	43 	43 	52 	50 	46 	34 	51 	65 	53 	64 
A,NR,ICCS0401,FI1D3	16 	21 	16 	26 	22 	23 	14 	20 	23 	17 	22 	30 	33 	34 
A,NR,ICCS0401,FI1D5	3 	3 	7 	3 	7 	5 	11 	3 	4 	12 	9 	11 	16 	13 
A,NR,ICCS0401,FI1D7	21 	25 	37 	32 	50 	36 	27 	34 	22 	33 	32 	41 	36 	34 
A,NR,ICCS0401,FI1D8	9 	12 	11 	10 	13 	12 	13 	7 	11 	13 	9 	13 	9 	20 
A,NR,ICCS0401,FI1D9	126 	123 	146 	109 	160 	109 	149 	117 	115 	126 	148 	134 	152 	125 
A,NR,ICCS0401,FI2	5 	6 	1 	3 	0 	2 	0 	1 	8 	6 	5 	3 	3 	3 
A,NR,ICCS0401,FI20	5 	6 	1 	3 	0 	2 	0 	1 	8 	6 	5 	3 	3 	3 
A,NR,ICCS0401,FI200	5 	6 	1 	3 	0 	2 	0 	1 	8 	6 	5 	3 	3 	3 
A,NR,ICCS0401,FIZ	46 	49 	24 	35 	33 	28 	24 	18 	15 	17 	12 	21 	5 	13 
A,NR,ICCS0401,FIZZ	46 	49 	24 	35 	33 	28 	24 	18 	15 	17 	12 	21 	5 	13 
A,NR,ICCS0401,FIZZZ	46 	49 	24 	35 	33 	28 	24 	18 	15 	17 	12 	21 	5 	13 
A,NR,ICCS0401,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	779 	838 	632 	604 
A,NR,ICCS0401,HR0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	779 	838 	632 	604 
A,NR,ICCS0401,HR02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45 
A,NR,ICCS0401,HR021	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 
A,NR,ICCS0401,HR022	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,ICCS0401,HR023	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,ICCS0401,HR024	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10 
A,NR,ICCS0401,HR025	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 
A,NR,ICCS0401,HR026	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 
A,NR,ICCS0401,HR027	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 
A,NR,ICCS0401,HR028	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 
A,NR,ICCS0401,HR03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	208 	296 	209 	172 
A,NR,ICCS0401,HR031	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49 	71 	52 	49 
A,NR,ICCS0401,HR032	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	7 	3 	5 
A,NR,ICCS0401,HR033	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	46 	26 	24 
A,NR,ICCS0401,HR034	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	8 	9 	10 
A,NR,ICCS0401,HR035	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75 	130 	95 	51 
A,NR,ICCS0401,HR036	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38 	30 	22 	30 
A,NR,ICCS0401,HR037	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	4 	2 	3 
A,NR,ICCS0401,HR04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	571 	542 	423 	: 
A,NR,ICCS0401,HR041	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	393 	392 	316 	: 
A,NR,ICCS0401,HR042	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41 	36 	20 	: 
A,NR,ICCS0401,HR043	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	3 	5 	: 
A,NR,ICCS0401,HR044	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	15 	12 	: 
A,NR,ICCS0401,HR045	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	4 	1 	: 
A,NR,ICCS0401,HR046	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	26 	15 	: 
A,NR,ICCS0401,HR047	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	5 	2 	: 
A,NR,ICCS0401,HR048	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	1 	0 	: 
A,NR,ICCS0401,HR049	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	2 	0 	: 
A,NR,ICCS0401,HR04A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	6 	6 	: 
A,NR,ICCS0401,HR04B	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25 	19 	20 	: 
A,NR,ICCS0401,HR04C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	10 	6 	: 
A,NR,ICCS0401,HR04D	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 	11 	11 	: 
A,NR,ICCS0401,HR04E	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	12 	9 	: 
A,NR,ICCS0401,HR05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	330 
A,NR,ICCS0401,HR050	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	330 
A,NR,ICCS0401,HR06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57 
A,NR,ICCS0401,HR061	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 
A,NR,ICCS0401,HR062	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 
A,NR,ICCS0401,HR063	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 
A,NR,ICCS0401,HR064	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 
A,NR,ICCS0401,HR065	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 
A,NR,ICCS0401,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	841 	695 	632 	607 	540 
A,NR,ICCS0401,HU1	: 	: 	: 	: 	: 	: 	: 	: 	: 	350 	301 	268 	259 	225 
A,NR,ICCS0401,HU11	: 	: 	: 	: 	: 	: 	: 	: 	: 	265 	234 	218 	197 	184 
A,NR,ICCS0401,HU110	: 	: 	: 	: 	: 	: 	: 	: 	: 	265 	234 	218 	197 	184 
A,NR,ICCS0401,HU12	: 	: 	: 	: 	: 	: 	: 	: 	: 	85 	67 	50 	62 	41 
A,NR,ICCS0401,HU120	: 	: 	: 	: 	: 	: 	: 	: 	: 	85 	67 	50 	62 	41 
A,NR,ICCS0401,HU2	: 	: 	: 	: 	: 	: 	: 	: 	: 	165 	114 	122 	114 	97 
A,NR,ICCS0401,HU21	: 	: 	: 	: 	: 	: 	: 	: 	: 	57 	37 	43 	30 	37 
A,NR,ICCS0401,HU211	: 	: 	: 	: 	: 	: 	: 	: 	: 	27 	11 	16 	15 	16 
A,NR,ICCS0401,HU212	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	15 	16 	10 	12 
A,NR,ICCS0401,HU213	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	11 	11 	5 	9 
A,NR,ICCS0401,HU22	: 	: 	: 	: 	: 	: 	: 	: 	: 	48 	37 	36 	26 	27 
A,NR,ICCS0401,HU221	: 	: 	: 	: 	: 	: 	: 	: 	: 	35 	26 	24 	13 	16 
A,NR,ICCS0401,HU222	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	0 	5 	7 	4 
A,NR,ICCS0401,HU223	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	11 	7 	6 	7 
A,NR,ICCS0401,HU23	: 	: 	: 	: 	: 	: 	: 	: 	: 	60 	40 	43 	58 	33 
A,NR,ICCS0401,HU231	: 	: 	: 	: 	: 	: 	: 	: 	: 	28 	21 	20 	19 	12 
A,NR,ICCS0401,HU232	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	16 	14 	29 	10 
A,NR,ICCS0401,HU233	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 	3 	9 	10 	11 
A,NR,ICCS0401,HU3	: 	: 	: 	: 	: 	: 	: 	: 	: 	326 	280 	242 	234 	218 
A,NR,ICCS0401,HU31	: 	: 	: 	: 	: 	: 	: 	: 	: 	126 	106 	118 	105 	91 
A,NR,ICCS0401,HU311	: 	: 	: 	: 	: 	: 	: 	: 	: 	84 	56 	83 	57 	55 
A,NR,ICCS0401,HU312	: 	: 	: 	: 	: 	: 	: 	: 	: 	34 	34 	20 	32 	20 
A,NR,ICCS0401,HU313	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	16 	15 	16 	16 
A,NR,ICCS0401,HU32	: 	: 	: 	: 	: 	: 	: 	: 	: 	114 	102 	56 	63 	64 
A,NR,ICCS0401,HU321	: 	: 	: 	: 	: 	: 	: 	: 	: 	31 	34 	17 	28 	14 
A,NR,ICCS0401,HU322	: 	: 	: 	: 	: 	: 	: 	: 	: 	38 	42 	24 	13 	27 
A,NR,ICCS0401,HU323	: 	: 	: 	: 	: 	: 	: 	: 	: 	45 	26 	15 	22 	23 
A,NR,ICCS0401,HU33	: 	: 	: 	: 	: 	: 	: 	: 	: 	86 	72 	68 	66 	63 
A,NR,ICCS0401,HU331	: 	: 	: 	: 	: 	: 	: 	: 	: 	38 	46 	44 	43 	40 
A,NR,ICCS0401,HU332	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	16 	12 	7 	12 
A,NR,ICCS0401,HU333	: 	: 	: 	: 	: 	: 	: 	: 	: 	32 	10 	12 	16 	11 
A,NR,ICCS0401,IE	: 	: 	: 	: 	: 	: 	: 	2424 	1957 	2018 	2179 	2037 	1406 	1172 
A,NR,ICCS0401,IE0	: 	: 	: 	: 	: 	: 	: 	2424 	1957 	2018 	2179 	2037 	1406 	1172 
A,NR,ICCS0401,IE04	: 	: 	: 	: 	: 	: 	: 	103 	68 	76 	66 	81 	60 	39 
A,NR,ICCS0401,IE041	: 	: 	: 	: 	: 	: 	: 	55 	41 	27 	21 	36 	19 	16 
A,NR,ICCS0401,IE042	: 	: 	: 	: 	: 	: 	: 	48 	27 	49 	45 	45 	41 	23 
A,NR,ICCS0401,IE05	: 	: 	: 	: 	: 	: 	: 	323 	266 	277 	277 	293 	206 	159 
A,NR,ICCS0401,IE051	: 	: 	: 	: 	: 	: 	: 	117 	85 	102 	105 	93 	60 	54 
A,NR,ICCS0401,IE052	: 	: 	: 	: 	: 	: 	: 	72 	72 	84 	77 	56 	54 	45 
A,NR,ICCS0401,IE053	: 	: 	: 	: 	: 	: 	: 	134 	109 	91 	95 	144 	92 	60 
A,NR,ICCS0401,IE06	: 	: 	: 	: 	: 	: 	: 	1998 	1623 	1665 	1836 	1663 	1140 	974 
A,NR,ICCS0401,IE061	: 	: 	: 	: 	: 	: 	: 	1692 	1371 	1423 	1642 	1424 	1017 	851 
A,NR,ICCS0401,IE062	: 	: 	: 	: 	: 	: 	: 	247 	199 	188 	151 	184 	88 	92 
A,NR,ICCS0401,IE063	: 	: 	: 	: 	: 	: 	: 	59 	53 	54 	43 	55 	35 	31 
A,NR,ICCS0401,IS	43 	60 	42 	42 	50 	49 	51 	53 	50 	49 	77 	54 	75 	60 
A,NR,ICCS0401,IS0	43 	60 	42 	42 	50 	49 	51 	53 	50 	49 	77 	54 	75 	60 
A,NR,ICCS0401,IS00	43 	60 	42 	42 	50 	49 	51 	53 	50 	49 	77 	54 	75 	60 
A,NR,ICCS0401,IS001	39 	53 	33 	38 	45 	47 	46 	50 	41 	46 	69 	50 	71 	54 
A,NR,ICCS0401,IS002	4 	7 	9 	4 	5 	2 	5 	3 	9 	3 	8 	4 	4 	6 
A,NR,ICCS0401,IT	: 	: 	: 	: 	: 	: 	39226 	35051 	32911 	30559 	28441 	24276 	20000 	22093 
A,NR,ICCS0401,ITC	: 	: 	: 	: 	: 	: 	11478 	10001 	9159 	9068 	8318 	7251 	6047 	7557 
A,NR,ICCS0401,ITC1	: 	: 	: 	: 	: 	: 	3338 	2826 	2435 	2480 	2246 	1710 	1376 	1643 
A,NR,ICCS0401,ITC11	: 	: 	: 	: 	: 	: 	2690 	2232 	1920 	1986 	1799 	1309 	1060 	1299 
A,NR,ICCS0401,ITC12	: 	: 	: 	: 	: 	: 	41 	56 	43 	32 	40 	45 	13 	33 
A,NR,ICCS0401,ITC13	: 	: 	: 	: 	: 	: 	52 	41 	18 	28 	35 	26 	31 	19 
A,NR,ICCS0401,ITC14	: 	: 	: 	: 	: 	: 	23 	22 	13 	20 	15 	18 	13 	16 
A,NR,ICCS0401,ITC15	: 	: 	: 	: 	: 	: 	134 	109 	96 	101 	102 	82 	94 	91 
A,NR,ICCS0401,ITC16	: 	: 	: 	: 	: 	: 	151 	117 	117 	87 	77 	66 	61 	66 
A,NR,ICCS0401,ITC17	: 	: 	: 	: 	: 	: 	93 	79 	74 	88 	60 	67 	22 	31 
A,NR,ICCS0401,ITC18	: 	: 	: 	: 	: 	: 	154 	170 	154 	138 	118 	97 	82 	88 
A,NR,ICCS0401,ITC2	: 	: 	: 	: 	: 	: 	19 	9 	19 	7 	12 	11 	12 	13 
A,NR,ICCS0401,ITC20	: 	: 	: 	: 	: 	: 	19 	9 	19 	7 	12 	11 	12 	13 
A,NR,ICCS0401,ITC3	: 	: 	: 	: 	: 	: 	812 	736 	768 	673 	696 	606 	595 	643 
A,NR,ICCS0401,ITC31	: 	: 	: 	: 	: 	: 	112 	98 	91 	79 	118 	85 	47 	87 
A,NR,ICCS0401,ITC32	: 	: 	: 	: 	: 	: 	126 	93 	123 	109 	116 	96 	76 	76 
A,NR,ICCS0401,ITC33	: 	: 	: 	: 	: 	: 	520 	459 	467 	415 	403 	361 	420 	426 
A,NR,ICCS0401,ITC34	: 	: 	: 	: 	: 	: 	54 	86 	87 	70 	59 	64 	52 	54 
A,NR,ICCS0401,ITC4	: 	: 	: 	: 	: 	: 	7309 	6430 	5937 	5908 	5364 	4924 	4064 	5258 
A,NR,ICCS0401,ITC41	: 	: 	: 	: 	: 	: 	299 	271 	281 	268 	233 	275 	221 	269 
A,NR,ICCS0401,ITC42	: 	: 	: 	: 	: 	: 	189 	149 	180 	165 	193 	138 	112 	160 
A,NR,ICCS0401,ITC43	: 	: 	: 	: 	: 	: 	96 	91 	64 	64 	73 	62 	38 	64 
A,NR,ICCS0401,ITC44	: 	: 	: 	: 	: 	: 	18 	12 	19 	10 	8 	11 	11 	16 
A,NR,ICCS0401,ITC46	: 	: 	: 	: 	: 	: 	566 	483 	492 	426 	355 	308 	304 	313 
A,NR,ICCS0401,ITC47	: 	: 	: 	: 	: 	: 	572 	568 	471 	412 	438 	360 	297 	483 
A,NR,ICCS0401,ITC48	: 	: 	: 	: 	: 	: 	210 	260 	173 	163 	178 	140 	125 	170 
A,NR,ICCS0401,ITC49	: 	: 	: 	: 	: 	: 	90 	82 	53 	78 	75 	61 	56 	64 
A,NR,ICCS0401,ITC4A	: 	: 	: 	: 	: 	: 	116 	99 	104 	81 	91 	91 	47 	64 
A,NR,ICCS0401,ITC4B	: 	: 	: 	: 	: 	: 	113 	105 	87 	87 	97 	88 	82 	77 
A,NR,ICCS0401,ITC4C	: 	: 	: 	: 	: 	: 	4590 	3954 	3726 	3822 	3290 	3054 	2568 	3346 
A,NR,ICCS0401,ITC4D	: 	: 	: 	: 	: 	: 	450 	356 	287 	332 	333 	336 	203 	232 
A,NR,ICCS0401,ITF	: 	: 	: 	: 	: 	: 	12009 	11031 	10889 	9833 	8549 	6731 	5164 	5029 
A,NR,ICCS0401,ITF1	: 	: 	: 	: 	: 	: 	417 	374 	333 	312 	286 	269 	217 	234 
A,NR,ICCS0401,ITF11	: 	: 	: 	: 	: 	: 	75 	60 	46 	46 	35 	45 	28 	23 
A,NR,ICCS0401,ITF12	: 	: 	: 	: 	: 	: 	87 	79 	67 	66 	65 	50 	47 	51 
A,NR,ICCS0401,ITF13	: 	: 	: 	: 	: 	: 	175 	163 	146 	138 	108 	115 	105 	113 
A,NR,ICCS0401,ITF14	: 	: 	: 	: 	: 	: 	80 	72 	74 	62 	78 	59 	37 	47 
A,NR,ICCS0401,ITF2	: 	: 	: 	: 	: 	: 	52 	44 	43 	48 	44 	36 	22 	28 
A,NR,ICCS0401,ITF21	: 	: 	: 	: 	: 	: 	8 	6 	13 	15 	4 	5 	6 	13 
A,NR,ICCS0401,ITF22	: 	: 	: 	: 	: 	: 	44 	38 	30 	33 	40 	31 	16 	15 
A,NR,ICCS0401,ITF3	: 	: 	: 	: 	: 	: 	8242 	7489 	7916 	7082 	6062 	4828 	3624 	3491 
A,NR,ICCS0401,ITF31	: 	: 	: 	: 	: 	: 	981 	865 	845 	961 	789 	575 	361 	335 
A,NR,ICCS0401,ITF32	: 	: 	: 	: 	: 	: 	56 	61 	51 	47 	51 	30 	21 	27 
A,NR,ICCS0401,ITF33	: 	: 	: 	: 	: 	: 	6739 	6072 	6607 	5626 	4858 	3900 	2938 	2812 
A,NR,ICCS0401,ITF34	: 	: 	: 	: 	: 	: 	49 	58 	52 	57 	38 	31 	29 	31 
A,NR,ICCS0401,ITF35	: 	: 	: 	: 	: 	: 	417 	433 	361 	391 	326 	292 	275 	286 
A,NR,ICCS0401,ITF4	: 	: 	: 	: 	: 	: 	2725 	2597 	2093 	1948 	1721 	1272 	1030 	1055 
A,NR,ICCS0401,ITF43	: 	: 	: 	: 	: 	: 	183 	196 	198 	205 	168 	131 	117 	94 
A,NR,ICCS0401,ITF44	: 	: 	: 	: 	: 	: 	188 	173 	134 	157 	135 	101 	69 	62 
A,NR,ICCS0401,ITF45	: 	: 	: 	: 	: 	: 	263 	209 	193 	214 	222 	155 	122 	126 
A,NR,ICCS0401,ITF46	: 	: 	: 	: 	: 	: 	506 	499 	439 	415 	345 	293 	247 	245 
A,NR,ICCS0401,ITF47	: 	: 	: 	: 	: 	: 	1312 	1328 	957 	770 	691 	455 	359 	409 
A,NR,ICCS0401,ITF48	: 	: 	: 	: 	: 	: 	273 	192 	172 	187 	160 	137 	116 	119 
A,NR,ICCS0401,ITF5	: 	: 	: 	: 	: 	: 	61 	53 	67 	61 	72 	55 	44 	43 
A,NR,ICCS0401,ITF51	: 	: 	: 	: 	: 	: 	41 	33 	37 	41 	37 	31 	21 	29 
A,NR,ICCS0401,ITF52	: 	: 	: 	: 	: 	: 	20 	20 	30 	20 	35 	24 	23 	14 
A,NR,ICCS0401,ITF6	: 	: 	: 	: 	: 	: 	512 	474 	437 	382 	364 	271 	227 	178 
